Colonne1;Nom;nbr_place;Prix;Description;Durée;Période
LUTZELBOURG;Circuit du château;3;15;"Une jolie balade familiale qui vous guidera jusqu'au château de Lutzelbourg, véritable sentinelle de grès rose qui veille sur le village et la vallée depuis le XIème siècle. Ne pas manquer les superbes points de vue depuis le château et le rocher du Petit Moulin.


Pour télécharger le circuit en PDF, copiez ceci dans la barre de recherche de votre navigateur :
https://www.paysdephalsbourg.com/wp-content/uploads/2022/05/11-CIRCULAIRE-DU-CHATEAU.pdf";00:22:55;APRES-MIDI
BASSILLAC ET AUBEROCHE;Voie verte des berges de L'isle;2;15;Cette voie verte, cheminement verdoyant de 17 km, ouverte aux piétons, aux cyclistes, aux rollers et aux personnes en fauteuil traverse l’agglomération de Périgueux d’est en ouest. Elle vous offre un espace de promenade calme et bucolique, sans jamais quitter le bord de la rivière.;00:44:11;APRES-MIDI
BASSILLAC ET AUBEROCHE;Voie verte des berges de L'isle;1;18;Cette voie verte, cheminement verdoyant de 17 km, ouverte aux piétons, aux cyclistes, aux rollers et aux personnes en fauteuil traverse l’agglomération de Périgueux d’est en ouest. Elle vous offre un espace de promenade calme et bucolique, sans jamais quitter le bord de la rivière.;02:04:00;APRES-MIDI
DABO;Circuit du lavoir de baerenloch;6;20;Un agréable fond de vallée, une montée en douceur vers une falaise de grès qui abritait jadis des habitations troglodytiques puis un lavoir reconstitué où une halte s'impose pour se rafraîchir.;01:17:49;SOIR
HETTANGE-GRANDE;Sentier de la réserve naturelle nationale géologique;6;19;La Réserve Naturelle Nationale Géologique d'Hettange-Grande est l'une des onze réserves géologiques de France et la seule en Lorraine. C'est dans le cadre sauvegardé d'une ancienne carrière qu'a été aménagé un sentier pédagogique doté d'une quinzaine de panneaux explicatifs sur la géologie, la botanique et la pédologie. Et pour compléter cette balade découverte des compléments d'informations vous seront donnés à la maison de l'Hettangien.;01:15:25;SOIR
RAON-L'ÉTAPE;BALADE RANDOLAND A LA CRIQUETTE;2;12;"Randoland, ce sont des balades ludiques pour petits et grands qui vous permettront de découvrir notre territoire en famille et en vous amusant ! 
Le bois et l'eau sont omniprésents sur ce site propice aux rencontres avec la faune et la flore locales. Découvrez la Fontaine des Maçons, le bassin du Sotré, le mur aux Salamandres, le bassin des Ondines, ... Si le site offre de superbes qualités environnementales, c'est aussi une belle occasion de connaitre et comprendre la nature à l'aide de panneaux explicatifs sur l'écosystème de l'étang, les essences forestières, la faune et l'avifaune, ... attention, druides, elfes et gnomes risquent également de croiser votre chemin ! Profitez d'un bol d'air d'une trentaine de minutes et essayez-vous au parcours de santé !
En pleine balade dans la forêt de la Criquette, Claire ne peut s’empêcher de raconter à son fils que des gnomes vivent sous terre et les observent.
« Chacun porte un nom en rapport avec son caractère ou sa façon de vivre, lui dit-elle.
Il y a un gnome « Grincheux », parce qu’il n’est jamais content. Gnome « En retard » habite aussi ici. Il ne regarde jamais sa montre. Gnome « Ça sent bon », quant à lui, se parfume beaucoup.
Et toi, mon Simon, tu es mon gnome préféré, toujours à me faire des petits câlins. Je crois que j’ai trouvé ton petit nom. »
Grâce à l'Inspecteur Rando, parviendras-tu à retrouver le surnom que Claire a donné à son fils ?
Les fiches détaillées des parcours sont en vente dans nos Offices de Tourisme, une récompense vous sera attribuée.";00:54:21;MATIN
GREUX;CIRCUIT DE BERMONT;5;13;"Cette petite randonnée vous permettra de faire une courte immersion dans notre territoire à travers ses paysages et son bâti.
De la dépression des côtes de la Meuse au plateau karstique de l'Ouest Vosgien, votre parcours sera jalonné de traces du passé : églises, chapelle et monuments sont visibles dans le village de Greux et les bois de Brixey.

Balisage : triangle jaune";02:25:26;SOIR
SENONES;BALADE RANDOLAND SENONES;1;19;"Randoland, ce sont des balades ludiques pour petits et grands qui vous permettront de découvrir notre territoire en famille et en vous amusant ! 
Selon la tradition, l’Abbaye de Senones fut fondée au VIIe siècle vers l’an 640 par Saint Gondelbert, qui aurait été évêque de Sens. Dès la fin du VIIIe siècle, l’Abbaye devenue Abbaye épiscopale, dont le développement et la richesse augmentent, fait appel à des voués chargés de veiller aux intérêts des religieux et de défendre le territoire ecclésiastique qui s’étendait sur la Haute Vallée du Rabodeau, une partie de la Haute Vallée de la Bruche, et une partie de la Vallée de la Plaine.
« Maman, maman, on a fait quelque chose de trop rigolo à l’école aujourd’hui. Alors que la maîtresse nous racontait l’histoire de Senones, elle nous a dit de prendre une feuille et un crayon et d’écrire le nom du village à l’envers.
- Et c’est drôle ça, Hannah ?
- Bah oui, parce qu’à l’envers, on écrit aussi Senones. C’est bizarre, non ?
- Oui, étrange !
- Et devine quoi ? Si je fais pareil avec mon prénom, ça marche aussi. On peut le lire de gauche à droite ou de droite à gauche. Ça s’appelle un… »
Là, silence.
Grâce aux indications de l’inspecteur Rando et à ton flair, retrouve ce nouveau mot appris par Hannah.
Les fiches détaillées des parcours sont en vente dans nos Offices de Tourisme, une récompense vous sera attribuée.";00:43:03;SOIR
BAMBIDERSTROFF;Circuit de la vallée du bambesch;5;10;Cet itinéraire vallonné offre au randonneur une variété de paysages et de découvertes insolites au cœur de la nature: ouvrages militaires dont l'ouvrage visitable du Bambesch, éoliennes géantes, croix de chemins sculptées, points de vues panoramiques, forêts sont les ingrédients de ce circuit remarquable.;00:11:30;APRES-MIDI
BUDING;Circuit le hackenberg;4;10;"Les randonnées de la Canner vous proposent une immersion au cœur de la vallée où vous apprécierez l'harmonie de ses paysages et la richesse de son patrimoine avec ses moulins, son bâti traditionnel et la Ligne Maginot.

Du fond de la vallée de la Canner, le circuit du Hackenberg vous mène sur les collines boisées qui font la particularité de la vallée de la Canner et de ses affluents. Là-haut vous aurez mérité le beau panorama qui s'offre à vous.";02:51:46;MATIN
BUDING;Circuit du Hackenberg;6;20;Venez découvrir à vélo les paysages de la Canner, à travers un parcours d'environ 25 km, principalement sur des nouvelles pistes cyclables. Votre aventure débute au Moulin de Buding, un musée historique au bord de la Canner. Ce moulin, qui a traversé les âges, a produit de l'huile, de la farine, puis s'est consacré au tissage. Continuez votre route vers le Fort Hackenberg, l'un des plus grands forts de la ligne Maginot, témoin de la Seconde Guerre mondiale. Pédalez ensuite à travers la Forêt des 4 Seigneurs, un havre de tranquillité avec ses arbres majestueux. Votre périple se terminera par une agréable petite route vallonnée entre Lémestroff et Inglange, passant par Budling. Un itinéraire riche en histoire et en nature, à savourer en toute sérénité !;00:43:22;MATIN
BOUZIÈS;Kalapca Loisirs - VTT, Randonnée, Course orientation;5;18;"Randonnées pédestres à thème, faune-flore, patrimoine, histoire et préhistoire, initiation à la lecture de carte et à l'orientation, lecture de paysage, possibilité de circuit sur mesure.
Pour les groupes nous organisons des courses d'orientation découverte ou sportive.
Sur des secteurs géographiques plus éloignés, nous offrons la possibilité d'accompagnement et de guidage pour des randonnées dans la région.

Challenge multi-activités pour les entreprises sous une 1/2 journée, 1 journée ou +. Nous nous adaptons à vos demandes.";01:04:14;SOIR
MIRECOURT;BOUCLE CYCLOTOURISTIQUE : FAMILLE PARCOURS BOTANIQUE;4;14;"Parcours Botanique
Au départ du musée de la lutherie, ce parcours champêtre vous emmènera au travers d'une jolie foret de feuillus. Vous traverserez le village de Bazoilles et Ménil, avant d'entrer à nouveau dans les bois, où vous pourrez explorer le sentier botanique du bois du Malaumont. Vous passerez ensuite non loin de la ferme expérimentale de l'INRA, où des modes novateurs d'élevage de vaches laitières sont testés en grandeur réelle. Le circuit vous fera découvrir le village de Poussay et sa célèbre foire agricole, dont l'origine remonte au XVIIème siècle. Enfin, vous retrouverez votre point de départ en longeant le Madon.
 © Texte : Bike.Vosges";01:28:57;MATIN
MIRECOURT;SENTIER DES LUTHIERS;3;10;"Le sentier des luthiers
Parcours historique sur l'activité de la lutherie et de l'archèterie à Mirecourt. Avec l'aide du guide ""sentier des luthiers"" disponible au Musée de la Lutherie et de l'archèterie ou à l'office de Tourisme de Mirecourt et ses environs, le visiteur, en parcourant rues et ruelles, découvre maisons de luthiers ou d'archetiers, de petites entreprises ou d'usines recensées à travers l'histoire. Les plaques sur les façades présentent le nom, les dates, l'histoire et la spécialité de l'atelier.";04:31:24;SOIR
BADONVILLER;CIRCUIT ENTRE CHAMPES ET CHARBONNIÈRE;6;18;Badonviller et ses environs, c'est une nature et des paysages magnifiques. Profitez de cette balade au grand air où toute la richesse de nos forêts et de nos lacs se dévoile dans un subtil bouquet de couleurs et de senteurs !;04:16:56;APRES-MIDI
SAINT-HUBERT;La voie de 60;6;12;Une agréable balade sur le tracé d'une ancienne voie ferrée qui servait au ravitaillement des ouvrages de la Ligne Maginot. Burtoncourt, situé au pied du massif forestier de Villers-Befey a gardé tout son charme de village tranquille où il fait bon vivre et se balader.;03:58:27;APRES-MIDI
SAINT-HUBERT;La voie de 60 en vtt;4;15;Une agréable balade sur le tracé d'une ancienne voie ferrée qui servait au ravitaillement des ouvrages de la Ligne Maginot. Burtoncourt, situé au pied du massif forestier de Villers-Befey a gardé tout son charme de village tranquille où il fait bon vivre et se balader. Aux portes de Metz, ce territoire qui offre forêts et grands espaces est idéal pour la pratique de la randonnée à pied et à VTT.;04:01:44;MATIN
CORCIEUX;CIRCUIT - LA VIERGE DE HENNEFÊTE - LE CHAMP D'EVRAUX;3;18;"Balisage : losange bleu - losange jaune - croix jaune. 
Il est conseillé de mettre de bonnes chaussures de randonnées, prévoir également la boisson dans un sac à dos, tenir votre chien en laisse et respecter les sentiers.
Départ : Place de l'église, Corcieux. 1/ Prenez la rue du Docteur Poirot à gauche. Au bout de la rue, tournez à gauche dans la rue du 31 ème BCP. 
2/ Vous arrivez au lieu-dit La Croix Florence (alt 543 m). A l'intersection, remarquez un calvaire (1804). Continuez tout droit direction Ruxurieux (losange bleu) . 
Traversez le hameau et ses vieilles maisons aux magnifiques linteaux * . 
Après être passés sous la ligne à très haute tension venant de la centrale nucléaire de Fessenheim, prenez à gauche direction La Vierge (losange bleu) . 
3/ 80 m plus loin, virez à droite sur un chemin de terre vers La Vierge (losange bleu) dans une forêt de sapins et d'épicéas et montez toujours tout droit, laissant les chemins de droite et de gauche. 
Arrivés en haut de la montée, continuez à droite (losange bleu). Au carrefour suivant, tournez à gauche pour arriver à La Vierge de Hennefête (alt 684 m) *. 
4/ Prenez ensuite le Sentier des Ducs, direction Saint-Dié (losange jaune). Arrivés à la route goudronnée, tournez à gauche jusqu'au carrefour de La Vierge (alt 663 m, abri - pique-nique). Prenez à gauche le chemin descendant sous la ligne à haute tension, passez de-vant la ferme de Noir Rupt (alt 560 m). Face à vous, panorama sur le bassin de Cor-cieux, le Mont Thiriville et le village de Vanémont. Continuez toujours tout droit sur la route goudronnée (croix jaune). Vous passez au lieu-dit le Champ d'Evraux (alt 527 m). 
5/ 100 m après la ligne à haute tension, empruntez le chemin de terre à gauche pour arriver au terrain de football. Traversez le lotissement les Myrtilles  (alt 528 m). Devant la fromagerie, tournez à gauche rue de la Gare pour revenir au point de départ place de l'église. 

A voir :
LES LINTEAUX DANS LES MAISONS VOSGIENNES : Les maisons de Ruxurieux ont échappé au sinistre de 1944. On peut y voir plusieurs linteaux (éléments architecturaux situés au-dessus des portes) en grès sculpté. Sur chacun, la date de construction de la maison y était indiquée.
LA VIERGE DE HENNEFÊTE : Ce monument a été inauguré en 1920 à la suite d'un voeu des habitants de Corcieux, celui d'élever une statue de Notre Dame des Victoires si la ville était épargnée au cours de la guerre 14-18. L'ennemi ayant été arrêté sur la crête, les habitants tinrent parole.";04:03:33;MATIN
CORCIEUX;CIRCUIT - VICHIBURE - LA FOLIE;2;18;"Balisage : rond jaune. 
Il est conseillé de mettre de bonnes chaussures de randonnées, prévoir également la boisson dans un sac à dos, tenir votre chien en laisse et respecter les sentiers.
Départ : Place de l'église. 1/Prenez la rue Henry jusqu'au carrefour (200 m) où vous tournerez à droite direction les campings : Les Bans-La Tour. 
Suivez le balisage (Rond Jaune) jusqu'au carrefour suivant. Prenez la rue James Wiese à droite au niveau du restaurant La Mangeoire. 
Vous passez devant le camping Domaine des Bans puis l'EHPAD Forfelet. 
2 /Au carrefour, partez à droite, vers Maison Pierre Nicole (Rond jaune) . 
3 /Au hameau de Vichibure, tournez à gauche (Rond jaune) . 
Sur la façade de la première maison, remarquez la date de sa construction (1821), son fronton en grès et deux inscriptions H10 . CH6 *. 
La maison suivante datée de 1723 est une ancienne prison ayant appartenu aux comtes de Martimprey. Il en reste sur la façade sud-est une petite fenêtre au style gothique flamboyant. 
Au carrefour suivant, prenez à droite la direction de La Folie (Rond jaune) . 
Après une courte montée sur chemin goudronné, continuez sur le chemin de terre. Sur votre droite vue sur Corcieux, son clocher et en arrière-plan la forêt de Hennefête. 300 m plus loin, sur votre gauche, remarquez des blocs de granite *. 
Continuez toujours tout droit (Rond jaune) sur l'agréable chemin forestier en sous-bois qui traverse le lieu-dit La Folie. 
4 /A un carrefour, prenez à droite le chemin descendant vers les ruines d'un ancien moulin alimenté par le ruisseau des Bans. Au XVIII° siècle, de nombreux moulins existaient sur la commune de Corcieux. Celui de la Folie pressait le lin et le colza. La meule était actionnée par une roue d’eau en chêne de 4 m de diamètre. L’huile que l’on extrayait était utilisée pour l’éclairage. Plus tard, ce moulin fut utilisé pour la production de farine de blé. 
5/ Face aux ruines, tournez à droite sur un petit sentier non balisé qui vous ramènera au hameau de Vichibure. 
6/ Reprenez alors la route goudronnée à droite. A 50 m, sur votre droite, vous pouvez faire un aller-retour jusqu'à “L'aumônerie de Pierre Nicole”, un ancien hospice du XIXº. 
Rejoignez alors Corcieux par le même itinéraire qu'à l'aller. 

A voir :
INSCRIPTIONS HISTORIQUES : À l'occupation allemande, en 1940, des habitations furent réquisitionnées pour loger l'armée ennemie. Sur la façade, des inscriptions précisaient le nombre d'hommes (H 10) et de chevaux (CH 6) pouvant y être hébergés. Dans d’autres maisons, la lettre O signifiait qu’un ou plusieurs officiers y logeaient.
LA GÉOLOGIE AUTOUR DE CORCIEUX : On trouve autour de Corcieux des massifs gréseux avec parfois du poudingue (ou conglomérat) comme à la Roche des Corbeaux, des zones granitiques (Vichibure, Champ de Roches ... ) et d’autres où grès et granite ont formé une roche métamorphique : la migmatite de Gerbépal présente à la Tête de Nayemont entre autres.";04:36:18;MATIN
